Date,Current_Temp,Feels_Like,Humidity,Time,City
12-10-22,34.68,32.59,19,14:25,Jodhpur
12-10-22,32.77,34.3,44,14:26,Shirpur
12-10-22,26.99,31.13,94,14:35,Mumbai
12-10-22,32.1,32.99,43,14:45,Indore
12-10-22,29.5,29.45,43,14:46,Ujjain
12-10-22,29.05,30.81,58,14:47,Delhi
12-10-22,31.5,29.9,26,14:48,Udaipur
12-10-22,31.67,31.65,39,14:49,Agra
12-10-22,30.23,32.86,58,14:50,Hyderabad
13-10-22,26.52,26.52,29,01:33,Jodhpur
13-10-22,26.52,26.52,29,01:35,Jodhpur
13-10-22,26.52,26.52,29,01:39,Jodhpur
17-10-22,19.68,19.43,66,03:10,Chandigarh
